NURSE,Nurse,
BLADE,Blade,
WHISTLER,Whistler,
REINHARDT,Reinhardt,
NYSSA,Nyssa,
SCUD,Scud,
DAMASKINOS,Damaskinos,DAMASKINO,
NOMAK,Nomak,
CHUPA,Chupa,
ASAD,Asad,
SNOWMAN,Snowman,
KOUNEN,Kounen,
VERLAINE,Verlaine,
PRIEST,Priest,
LIGHTHAMMER,Lighthammer,
RUSH,Rush,
