TEKKA,Tekka
POE,Poe
HAN,Solo,Han
LUKE,Luke,Skywalker
LEIA,Leia,General_Organa
KYLO_REN,REN,Ren,Kylo,Ben
REY,Rey
FINN,Finn
MAZ,Maz
SNOKE,Snoke,Supreme_Leader
GENERAL_HUX,HUX,Hux
C3PO
R2D2
BB8
CHEWIE,Chewiw,CHEWBACCA,Chewbacca
UNKAR,Unkar,
FN2187,
Bala_Tik,
CptPhasma,PHASMA,Phasma
