DEADPOOL,Deadpool,,,,,
DOPINDER,Dopinder,Cabbie,,,,
AJAX,Ajax,,,,,
WARLORD,Warlord,,,,,
COLOSSUS,Colossus,,,,,
NTW,,,,,,
JEREMY,Jeremy,,,,,
MERCHANT,Merchant,,,,,
REPORTER,Reporter,,,,,
WEASEL,Weasel,,,,,
BOOTHE,Boothe,,,,,
VANESSA,Vanessa,,,,,
BUCK,Buck,,,,,
RECRUITER,Recruiter,,,,,
CUNNINGHAM,Cunningham,,,,,
ANGEL_DUST,Angel_Dust,,,,,
DOCTOR,Doctor,,,,,
BLIND_AL,Al,,,,,
